guid,handle,name,entity_type,ksic_code,entity_subtype,native_lang,region,address,lat,lng,description,phone,phone_display,website,status,started_at,trust_level,ai_active,biz_extra_json
31e82cad-76c3-5866-a039-f64ffeb2e694,@hallim_geumneung,금능반점,org,56,restaurant,ko,한림읍,제주특별자치도 제주시 한림읍 한림리 123,33.3945,126.2389,제주 한림 중화요리 전문점. 짜장면·짬뽕·탕수육,064-796-1001,064-796-1001,,active,2015-03-01,1,true,"{""cuisine_type"": ""중화요리"", ""menu"": [{""id"": ""m001"", ""name"": ""짜장면"", ""price"": 7000, ""desc"": ""춘장 소스 중화 면"", ""allergens"": [""대두"", ""밀""], ""kcal"": 650, ""is_available"": true}, {""id"": ""m002"", ""name"": ""짬뽕"", ""price"": 8000, ""desc"": ""매운 해물 국물 면"", ""allergens"": [""갑각류"", ""밀""], ""kcal"": 720, ""is_available"": true}, {""id"": ""m003"", ""name"": ""탕수육"", ""price"": 18000, ""desc"": ""바삭 돼지고기·소스"", ""allergens"": [""대두"", ""밀""], ""kcal"": 980, ""is_available"": true}, {""id"": ""m004"", ""name"": ""볶음밥"", ""price"": 8000, ""desc"": ""야채 볶음밥"", ""allergens"": [""대두"", ""달걀""], ""kcal"": 700, ""is_available"": true}], ""delivery"": true, ""delivery_fee"": 3000, ""takeout"": true, ""dine_in"": true, ""seating"": 30, ""halal"": false, ""vegetarian"": false, ""min_order"": 7000, ""kids_friendly"": true}"
60012c7f-9a7c-50be-82c6-e9f6bca47912,@hallim_seagull,갈매기 해산물,org,56,restaurant,ko,한림읍,제주특별자치도 제주시 한림읍 협재리 456,33.3921,126.2301,협재 해변 앞 신선한 해산물 전문점,064-796-1002,064-796-1002,,active,2018-05-01,1,true,"{""cuisine_type"": ""해산물"", ""menu"": [{""id"": ""m001"", ""name"": ""전복죽"", ""price"": 15000, ""desc"": ""제주 전복 한 마리 포함"", ""allergens"": [""갑각류""], ""kcal"": 420, ""is_available"": true}, {""id"": ""m002"", ""name"": ""해물뚝배기"", ""price"": 12000, ""desc"": ""각종 해물 된장찌개"", ""allergens"": [""갑각류"", ""대두""], ""kcal"": 380, ""is_available"": true}, {""id"": ""m003"", ""name"": ""회 모듬"", ""price"": 35000, ""desc"": ""2인분 기준 당일 직접 조업"", ""allergens"": [""생선""], ""kcal"": 350, ""is_available"": true}], ""delivery"": false, ""takeout"": true, ""dine_in"": true, ""seating"": 40, ""halal"": false, ""vegetarian"": false, ""min_order"": 12000}"
0e9efac9-4858-5533-b3e5-b4fcaf3a00ed,@hyeopjae_cafe,협재 카페,org,56,cafe,ko,한림읍,제주특별자치도 제주시 한림읍 협재리 789,33.3915,126.229,협재 해변 뷰 카페. 수제 디저트·제주 로컬 음료,064-796-1003,064-796-1003,,active,2020-04-01,1,true,"{""cuisine_type"": ""카페"", ""menu"": [{""id"": ""m001"", ""name"": ""아메리카노"", ""price"": 5000, ""desc"": ""제주 한라산 물 사용"", ""allergens"": [], ""kcal"": 10, ""is_available"": true}, {""id"": ""m002"", ""name"": ""한라봉 에이드"", ""price"": 7000, ""desc"": ""제주 한라봉 생과일"", ""allergens"": [], ""kcal"": 180, ""is_available"": true}, {""id"": ""m003"", ""name"": ""오메기떡 세트"", ""price"": 9000, ""desc"": ""제주 전통 오메기떡 3개"", ""allergens"": [""밀"", ""대두""], ""kcal"": 320, ""is_available"": true}], ""delivery"": false, ""takeout"": true, ""dine_in"": true, ""seating"": 25, ""halal"": false, ""vegetarian"": true, ""min_order"": 5000}"
497d04f7-81b0-55ef-8b3c-5fee90df1916,@hallim_viet,포홍 베트남 음식점,org,56,restaurant,vi,한림읍,제주특별자치도 제주시 한림읍 한림리 321,33.395,126.24,정통 베트남 가정식. 쌀국수·분짜·반미,064-796-1004,064-796-1004,,active,2021-08-01,1,true,"{""cuisine_type"": ""베트남 요리"", ""menu"": [{""id"": ""m001"", ""name"": ""쌀국수 (소)"", ""price"": 9000, ""desc"": ""사골 육수 24시간 우린 포보"", ""allergens"": [""밀"", ""대두""], ""kcal"": 480, ""is_available"": true}, {""id"": ""m002"", ""name"": ""분짜"", ""price"": 11000, ""desc"": ""숯불 돼지고기 분짜"", ""allergens"": [""밀"", ""대두""], ""kcal"": 560, ""is_available"": true}, {""id"": ""m003"", ""name"": ""반미"", ""price"": 7000, ""desc"": ""바게트 베트남 샌드위치"", ""allergens"": [""밀"", ""달걀""], ""kcal"": 420, ""is_available"": true}], ""delivery"": true, ""delivery_fee"": 3000, ""takeout"": true, ""dine_in"": true, ""seating"": 20, ""halal"": false, ""vegetarian"": false, ""min_order"": 9000}"
f8e8172f-7452-540c-a01f-5d650a3d1651,@hallim_minjak,이정호 민박,org,55,accommodation,ko,한림읍,제주특별자치도 제주시 한림읍 한림리 456,33.396,126.241,한림읍 소재 가족 운영 민박. 주인 직접 제주 여행 안내,064-796-1005,064-796-1005,,active,2010-06-01,1,true,"{""accommodation_type"": ""민박"", ""rooms"": [{""id"": ""r001"", ""name"": ""온돌 방 (2인)"", ""price"": 60000, ""capacity"": 2, ""amenities"": [""에어컨"", ""와이파이"", ""욕실""], ""is_available"": true}, {""id"": ""r002"", ""name"": ""패밀리 룸 (4인)"", ""price"": 100000, ""capacity"": 4, ""amenities"": [""에어컨"", ""와이파이"", ""욕실"", ""주방""], ""is_available"": true}], ""check_in"": ""15:00"", ""check_out"": ""11:00"", ""total_rooms"": 4, ""breakfast"": false, ""parking"": true, ""pets"": false, ""min_stay_nights"": 1, ""cancellation_policy"": ""체크인 2일 전 무료 취소""}"
87a3ca14-ce2c-5647-b1cb-046cebfc06ef,@hallim_pension,한림 바다 펜션,org,55,accommodation,ko,한림읍,제주특별자치도 제주시 한림읍 협재리 111,33.391,126.228,협재 해수욕장 도보 2분. 오션뷰 펜션,064-796-1006,064-796-1006,,active,2016-03-01,1,true,"{""accommodation_type"": ""펜션"", ""rooms"": [{""id"": ""r001"", ""name"": ""오션뷰 스탠다드"", ""price"": 120000, ""capacity"": 2, ""amenities"": [""에어컨"", ""와이파이"", ""욕실"", ""발코니""], ""is_available"": true}, {""id"": ""r002"", ""name"": ""오션뷰 패밀리"", ""price"": 180000, ""capacity"": 4, ""amenities"": [""에어컨"", ""와이파이"", ""욕실"", ""주방"", ""바베큐""], ""is_available"": true}], ""check_in"": ""16:00"", ""check_out"": ""11:00"", ""total_rooms"": 8, ""breakfast"": false, ""parking"": true, ""pets"": true, ""min_stay_nights"": 1, ""cancellation_policy"": ""체크인 3일 전 무료 취소""}"
eb9c98d6-b64c-551b-a8f3-8e010a1c0200,@hallim_convenience,한림 편의점,org,47,retail,ko,한림읍,제주특별자치도 제주시 한림읍 한림리 789,33.3948,126.2395,24시간 운영 편의점. GDC 결제 가능,064-796-1007,064-796-1007,,active,2019-01-01,1,false,"{""retail_type"": ""편의점"", ""online_order"": false, ""delivery"": false, ""pickup"": true, ""return_policy"": ""영수증 지참 당일 교환 가능""}"
8b9f1ada-56fa-5252-b67b-0d848cd3cdac,@hallim_doejang,김복순 된장·젓갈,org,47,retail,ko,한림읍,제주특별자치도 제주시 한림읍 한림리 654,33.3955,126.242,3대째 전통 제주 된장·젓갈. 전국 배송 가능,064-796-1008,064-796-1008,,active,1985-01-01,1,true,"{""retail_type"": ""전통식품"", ""products"": [{""id"": ""p001"", ""name"": ""제주 된장 (500g)"", ""price"": 15000, ""unit"": ""병"", ""origin"": ""제주 한림읍"", ""cert"": ""전통식품 인증"", ""is_available"": true}, {""id"": ""p002"", ""name"": ""멜젓 (500g)"", ""price"": 12000, ""unit"": ""병"", ""origin"": ""제주 앞바다"", ""cert"": """", ""is_available"": true}, {""id"": ""p003"", ""name"": ""된장·젓갈 세트"", ""price"": 45000, ""unit"": ""선물세트"", ""origin"": ""제주"", ""cert"": ""전통식품 인증"", ""is_available"": true}], ""online_order"": true, ""delivery"": true, ""pickup"": true, ""delivery_area"": [""전국""], ""return_policy"": ""수령 후 3일 내 불량품만""}"
42a0084f-a45b-57f6-9eac-41ab4fe1b9bd,@hallim_directfarm,백지영 농산물 직거래,org,47,retail,ko,한림읍,제주특별자치도 제주시 한림읍 금악리 111,33.382,126.255,제주 농산물 농장 직거래. 한라봉·감귤·당근,064-796-1009,064-796-1009,,active,2017-11-01,1,true,"{""retail_type"": ""농산물 직거래"", ""products"": [{""id"": ""p001"", ""name"": ""한라봉 (3kg)"", ""price"": 25000, ""unit"": ""박스"", ""season"": ""12월~2월"", ""cert"": ""GAP 인증"", ""is_available"": false}, {""id"": ""p002"", ""name"": ""노지 감귤 (5kg)"", ""price"": 20000, ""unit"": ""박스"", ""season"": ""11월~1월"", ""cert"": ""GAP 인증"", ""is_available"": true}, {""id"": ""p003"", ""name"": ""제주 당근 (3kg)"", ""price"": 12000, ""unit"": ""박스"", ""season"": ""11월~3월"", ""cert"": """", ""is_available"": true}], ""online_order"": true, ""delivery"": true, ""pickup"": true, ""delivery_area"": [""전국""], ""return_policy"": ""수령 24시간 내 불량품만""}"
6c551e67-1ad8-5afb-a478-dbc3abb4a060,@hallim_seafood,한정수 수산물,org,47,retail,ko,한림읍,제주특별자치도 제주시 한림읍 한림리 수협 앞,33.394,126.237,한림수협 인근 수산물 도매·소매. 당일 직접 조업,064-796-1010,064-796-1010,,active,2005-08-01,1,true,"{""retail_type"": ""수산물"", ""products"": [{""id"": ""p001"", ""name"": ""전복 (활, 1kg)"", ""price"": 40000, ""unit"": ""kg"", ""origin"": ""제주 한림 해역"", ""cert"": """", ""is_available"": true}, {""id"": ""p002"", ""name"": ""옥돔 (냉장, 1마리)"", ""price"": 35000, ""unit"": ""마리"", ""origin"": ""제주 앞바다"", ""cert"": """", ""is_available"": true}, {""id"": ""p003"", ""name"": ""갈치 (냉장, 1kg)"", ""price"": 22000, ""unit"": ""kg"", ""origin"": ""제주 앞바다"", ""cert"": """", ""is_available"": true}], ""online_order"": true, ""delivery"": true, ""pickup"": true, ""delivery_area"": [""전국""], ""return_policy"": ""당일 수령 불량품만""}"
